industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,quick_ratio,total_shareholder_return,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label
Industrials,-0.03277383308349034,-0.02745994671661375,0.017442101895517002,0.0379989663720535,286400,377500,395000,343900,23.43,0.55,1.97,0.0,18.15,24.86,0.023432727610632656,236.525,0.14,5.0,185.08,12.396215485615201,184.94708333333335,1
Industrials,-0.03708061176700861,1.8500160535143042e-07,-0.01820335997480373,0.022776833493111933,1935900,1675271,1220334,1261442,19.9,1.37,1.24,-1.06,14.48,19.33,0.014594297677766606,241.729,0.41,4.9,40.9805,0.888628744745389,41.04250833333333,1
Real Estate,0.002554654886718965,-0.0015589669227380283,0.053441130233858686,0.016077620287031042,975700,1557300,546200,546200,40.38,1.4,,,31.04,3.48,0.023622207854480534,237.805,0.12,5.6,70.73666666666668,50.757575757576156,70.71416666666667,0
Health Care,0.0015964605650185437,-0.03764014573797078,-0.008832067111720502,-0.11352596455503679,2350900,6858500,2549800,2352500,7.65,0.73,1.96,0.94,40.32,33.23,0.034122673340407965,269.195,0.06,5.8,62.72,53.903345724907126,62.667500000000004,0
Industrials,-0.027340436324848772,-0.007867464386696166,0.012483461519510382,-0.027854839762275214,1078900,521600,2141100,1544500,23.53,0.55,1.12,2.54,15.86,13.64,0.018115148877802398,256.143,2.38,3.6,82.62666666666667,25.791855203620095,82.49000000000001,1
Finance,0.011950622860157292,0.026296739499771012,0.024491774250221615,0.04635102355578488,2065500,2065500,1581800,2031200,11.85,1.19,,,20.32,53.86,0.029961796864568978,246.524,1.42,4.1,99.6124,65.18797636379199,99.45546666666667,0
Consumer Discretionary,-0.022020046147681886,0.04328848618523519,0.021858363358828233,0.031141726981367007,1063400,1152500,1978200,1767400,91.93,1.81,1.18,3.52,4.37,-5.0,0.021013491044938746,257.208,1.55,3.6,162.20666666666668,10.94890510948905,162.055,0
Technology,0.04680976899131173,0.11243785538602681,-0.014705907102274339,0.04758648889297508,1299400,2150400,1859800,1919000,7.41,0.13,2.19,-1.35,22.08,-19.07,0.04209263688153092,241.432,0.66,4.7,33.42,83.5460992907801,33.9775,0
Technology,-0.014645049990814483,0.004492122152609614,0.008817686138942427,-0.021243588886405276,1386800,2121000,1993400,2498600,26.13,0.88,2.14,2.06,15.07,7.82,0.023635484618836012,246.524,1.42,4.1,44.20499999999999,0.0,44.211666666666666,0
Industrials,0.04677873489618947,-0.036722238361739386,-0.011100626743895708,-0.03930525781459843,1178700,1571700,1161300,1147600,13.14,0.65,2.88,1.02,18.71,6.11,0.015927674231624656,257.346,1.9,3.6,31.203333333333333,90.29126213592241,31.1475,1
