,industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,quick_ratio,total_shareholder_return,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label
0,Technology,0.0184555200558772,-0.0220850223627678,0.0745088564931084,0.0087516130229547,199900.0,158700.0,199800.0,158600.0,17.96,0.27,0.62,0.14,3.58,-5.59,0.0324870621300921,287.504,0.33,3.6,42.17,51.77157148812,42.022083333333335,1
1,Technology,0.0777777565850151,-0.0249186948692525,-0.0435233256887851,-0.0306379013072092,92500.0,25900.0,82400.0,16100.0,13.81,0.02,0.88,0.23,1.43,12.52,0.0329975241129857,256.143,2.38,3.6,19.16333333333333,100.0,19.13958333333333,0
2,Consumer Discretionary,-0.0099104673094829,0.0017043282297556,0.0181770403643102,0.0386139242024708,536700.0,441600.0,924400.0,813700.0,26.21,0.95,0.89,2.91,12.61,18.3,0.0188594075890566,256.143,2.38,3.6,232.44333333333336,41.52637485970846,232.5575,1
3,Energy,0.0335473844133944,0.0068609932612746,0.011342389751829,0.0029443965710681,1450900.0,846500.0,846500.0,1045700.0,1.46,0.2,0.56,-7.81,41.22,39.26,0.0267100793876752,303.363,4.83,3.4,77.23,76.41277641277642,77.84583333333333,1
4,Consumer Discretionary,-0.0347376696392729,0.0040874717959926,-0.0016569471600914,0.0462061148024336,961100.0,701700.0,786800.0,954900.0,23.9,3.16,1.28,2.22,4.81,11.13,0.0181390669762464,264.877,0.07,6.1,154.73333333333332,19.56926349375169,154.03708333333333,1
6,Industrials,-0.0182375804951952,0.0068684155867484,-0.0055045458904576,0.0357834671408148,512100.0,564100.0,725100.0,573700.0,13.11,1.06,1.09,4.71,10.75,-5.23,0.0173845078648953,296.808,2.33,3.5,478.42,15.323906609667784,478.94916666666666,1
7,Industrials,-0.0107452625705962,0.186361976745129,-0.0418767101805297,0.0117694734612691,955100.0,890900.0,1456600.0,1534500.0,29.84,0.09,1.55,1.91,1.12,7.83,0.0245880523974434,241.353,0.41,4.7,58.32666666666666,28.384687208216462,58.24333333333333,1
8,Consumer Discretionary,0.0055745213647116,0.0078750677828225,0.0175256754982559,0.0194428919635459,581600.0,401000.0,351500.0,537900.0,25.56,0.87,0.96,2.83,12.09,15.21,0.0188831759565947,256.092,2.38,3.7,219.80000000000004,55.852609554806406,219.52541666666667,1
9,Industrials,-0.0331491947676061,0.0091435825365827,0.0231212565494407,0.0336754771997285,189800.0,142200.0,162800.0,151700.0,26.69,0.85,0.93,1.25,11.63,10.18,0.0228504181643167,273.003,0.1,5.4,133.56000000000003,4.956117707795473,132.97416666666666,1
10,Technology,0.0071929941986202,-0.0842902946811712,0.0307338005630767,0.0188381213176116,2656400.0,2530000.0,4729200.0,6858200.0,40.15,1.7,0.49,-0.14,9.44,37.6,0.0307069832215816,260.28,0.09,7.9,51.08833333333333,70.83466581387917,51.32770833333333,0
