industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label,quick_ratio,total_shareholder_return
Real Estate,0.02978894594018636,0.012986960090096145,0.01237440795733126,0.023752754330137467,3135700,2522800,3783400,2918300,19.81,1.12,21.85,52.61,0.021052946936954822,237.336,0.12,5.1,27.063333333333333,77.96976241900646,27.089166666666664,0,,
Energy,0.002052750982860902,0.037997180728882196,-0.03421985382877391,-0.037413696687608265,948300,798500,782300,1030600,-41.4,0.81,13.94,16.32,0.021310888341641892,267.054,0.07,6.1,29.316666666666663,59.18367346938762,29.280833333333334,0,0.63,7.42
Technology,0.0203081445490911,-0.0034449195732188867,0.017693805535500085,0.015463909387293636,3909600,3274300,3638300,3653200,-45.86,1.22,4.81,18.7,0.03944232371114184,242.839,0.66,4.7,71.02666666666667,57.53660637381572,70.95416666666667,1,1.74,-22.74
Real Estate,-0.031249908521662626,0.07995833533190018,-0.03940152284349009,-0.04021062993293287,45500,49600,33300,26700,,,,,0.019073718687304956,297.711,3.83,3.6,20.430000000000003,21.271076523994665,20.36875,0,,
Consumer Discretionary,0.003619123925602526,-0.045442562907394374,-0.06532510996770312,-0.04551923946201289,6350200,7610700,10296300,8075600,10.89,0.36,10.35,5.38,0.03027123276409937,252.885,2.2,3.8,35.36333333333333,61.14285714285709,35.672916666666666,0,,
Health Care,-0.018339661543344987,0.026480915032431655,0.012323694072674758,-0.02658927664828475,3375600,7995500,7344300,2764000,33.12,0.73,13.95,15.38,0.017579529183117722,277.948,0.08,4.2,79.69,46.09469850263065,80.0675,0,1.55,3.62
Technology,0.0033284104127628347,0.021596272769340792,0.05081967780786811,-0.015215981834418425,186000,146900,113800,190700,93.5,0.3,12.54,20.92,0.03266766117937189,267.054,0.07,6.1,446.7666666666667,52.327894946279194,446.30791666666664,1,3.17,-3.0
Technology,-0.030426337847605876,0.06313781585164978,-0.06682812787638735,0.0048661021611063025,2338900,887000,1066800,845400,8.33,1.39,3.49,7.34,0.036348991896587496,296.808,2.33,3.5,59.00666666666667,44.237918215613455,59.25833333333333,0,0.4,7.03
Technology,0.019517879663167804,0.002476926494733286,0.041934764795575424,0.03656842619737172,6485100,6240200,8040300,8196000,28.14,-37.92,15.29,13.28,0.029338157891566092,303.363,4.83,3.4,95.61666666666667,86.0655737704927,95.40083333333334,1,0.65,0.7
Finance,-0.032001809003490596,0.05276842312828346,-0.03297234567489607,-0.0007842283628072493,2319900,1894500,1977000,3720000,22.13,0.66,18.68,-4.53,0.02524763989373525,260.229,0.09,6.7,42.0221888888889,25.70669243778672,42.06149444444445,0,0.31,1.86
Technology,-0.022582184161226898,0.06093748410542806,0.05297797442207147,-0.042231370620411865,283000,219200,210200,282100,72.68,0.15,16.67,28.25,0.03814834667746717,260.474,0.09,6.7,101.25666666666666,23.39066339066344,100.87333333333333,1,1.47,0.87
