industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,quick_ratio,total_shareholder_return,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label
Technology,0.0071929941986202985,-0.08429029468117126,0.030733800563076747,0.018838121317611665,2656400,2530000,4729200,6858200,40.15,1.7,0.49,-0.14,9.44,37.6,0.0307069832215816,260.28,0.09,7.9,51.08833333333333,70.83466581387917,51.327708333333334,0
Utilities,0.03206605794420588,-0.0013205300824042424,0.03520180739515148,-0.014151066140737347,2754600,2752600,3639400,5005600,13.74,1.85,0.44,2.44,23.77,3.63,0.013423036231917663,252.885,2.19,3.8,30.97666666666667,92.09370424597365,30.99,0
Health Care,0.014031806355703358,0.035456149881870146,-0.03340471249760303,0.0009835365699993855,1732763,898208,1437870,1336190,492.76,1.51,0.8,-0.29,0.59,12.69,0.016552381548974798,241.353,0.41,4.7,171.95666666666668,55.61452899826648,171.36073333333334,0
Finance,-0.0639843427223311,-0.002843672763489093,0.019255181884984596,-0.048899417563111544,1302100,2480700,2656700,2070100,28.83,12.37,1.04,3.66,36.53,43.28,0.018713038508354842,257.346,1.83,3.6,239.63666666666666,23.913770053475975,240.41500000000002,1
Utilities,0.013694707957730519,-0.007715604901880002,0.021975180524927574,0.016824297476239966,3128800,4361300,2147100,3143600,25.46,1.5,0.19,7.7,9.38,-18.47,0.013368868301771033,274.31,0.08,4.8,78.57,66.36280765724688,78.70916666666668,0
Health Care,0.01824907986228262,-0.026377588091369805,0.02621229413377577,0.027921439121285033,1164800,1180800,782600,932700,11.58,0.74,1.24,7.7,10.3,15.45,0.0192111646760026,298.012,3.08,3.7,128.05666666666664,47.79499404052437,127.39166666666667,1
Industrials,-0.018879331832666726,0.03707555137925047,-0.04813785050019162,0.014877391850485535,2281800,1847300,2761600,1822300,38.5,1.06,0.86,1.48,11.71,11.41,0.02686987997166598,307.026,5.33,3.8,48.946666666666665,15.081967213114794,48.98125,0
Technology,0.04791351971713319,-0.0225564473574791,0.033416290227416476,0.02562632443447944,1385500,1549100,3895700,1776300,49.93,2.99,0.63,1.37,12.69,56.26,0.029085734673604473,305.109,5.08,3.6,205.32333333333335,100.0,205.08583333333334,0
Consumer Discretionary,0.06754098691283433,0.004155680892162506,0.012704366772781679,-0.03063432436742658,3369700,3366100,2939200,3275300,28.94,0.79,1.17,2.85,14.31,30.66,0.01885064984705347,252.776,2.4,3.8,135.84,88.03483528966312,135.53125,0
Consumer Discretionary,0.002161451720892143,-0.03488684989160719,-0.016328819749987178,0.02263704263009635,1323400,805000,1209500,936300,19.98,0.95,1.48,-0.23,3.9,-2.97,0.02113157013491365,246.669,1.16,4.2,217.4333333333333,54.76744186046511,217.43583333333333,0
Industrials,0.01172341283795147,0.042134623751677536,-0.030974044707571823,0.04640722237175509,771000,833100,764300,951800,39.4,0.51,1.61,2.1,26.63,22.89,0.02683456517973812,278.802,0.07,3.9,160.39333333333335,53.70138017565876,159.92583333333334,0
