industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,quick_ratio,total_shareholder_return,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label
Energy,-0.03570725937958325,-0.008797658404944715,0.015402065789566101,-0.0007182083211789154,2635300,2900400,2524800,1657400,8.21,0.47,0.76,9.6,0.86,-6.66,0.016354597152439317,255.548,2.41,3.6,94.92,0.0,95.04708333333332,1
Health Care,0.05130909885037638,-0.0024021839870090426,-0.032075342348364094,-0.06681882225420727,1247110,872418,1052838,690485,44.58,0.97,0.91,1.32,8.36,9.83,0.02577148178177459,259.101,0.09,10.2,144.15533333333335,100.0,144.09592500000002,1
Health Care,-0.26255741988714526,-0.0496930459930457,0.10542603615848552,-0.11810166480213226,3100800,2815300,3027000,3100200,15.93,0.63,1.53,3.06,3.41,3.56,0.019203969967185295,258.115,0.25,4.4,223.10666666666665,19.984259935915453,224.74166666666667,0
Industrials,0.06022644165422654,-0.05105981766682917,-0.021225310202034425,0.006400307436780129,181700,166700,155000,408800,20.99,28.78,0.52,1.58,15.39,10.4,0.02212253343534618,307.026,5.33,3.8,365.18,84.85844555190333,366.40791666666667,1
Consumer Discretionary,-0.025948922111413187,-0.05274928877922867,0.12991577954824376,-0.012914465867687205,10142600,15244600,9626600,11236400,14.15,0.92,0.27,0.84,4.7,7.35,0.018854080232675836,260.28,0.09,7.9,136.98,10.71710007880262,136.86,1
Technology,0.06752851535439398,0.012502415061017009,0.020737875323235278,0.040888307454610216,1510900,2574900,2321900,3756800,28.12,0.65,0.96,0.27,24.01,37.7,0.028018240494001652,267.054,0.07,6.1,137.23100000000002,70.37512999662042,135.9226875,0
Technology,0.027630117798083935,0.1734912122625032,0.049712501474416984,-0.05138932089281458,617900,533700,532800,497700,40.66,0.64,0.37,1.12,15.21,31.57,0.026224768784812186,263.014,0.07,6.2,482.7233333333333,77.13660604403117,485.15999999999997,0
Finance,0.002848899762959468,-0.008999448147047586,0.02812058291108374,0.03589538789762924,3547400,3232900,2833600,1785100,13.27,1.11,,,25.47,59.7,0.01840388463730454,256.974,1.55,3.6,56.406666666666666,55.445544554455594,56.37833333333333,0
Consumer Discretionary,-0.023815616777043275,-0.00391648173272682,0.021024315117505642,0.022309833606085756,11532700,8549900,9004500,11917200,22.97,-3.04,0.43,7.9,5.48,-28.78,0.02437249568192696,256.394,0.05,13.2,74.05333333333333,40.58577405857734,74.36625000000001,0
Consumer Staples,0.005622658383798184,0.060577371414805625,0.03273913029814818,0.005868922802845116,810900,1250400,1269400,2027500,18.99,-505.78,0.64,1.27,11.0,14.6,0.013415622202199811,256.571,2.41,3.7,67.27666666666666,66.49746192893397,67.42708333333334,1
Real Estate,0.01724904266386975,0.037156167609254734,-0.049694968936800636,0.19230754877533077,112700,129400,45500,28900,,,,,,,0.024427952824826262,256.389,0.05,14.7,23.04666666666667,61.99575371549909,22.98125,1
Consumer Discretionary,-0.1027840159458034,0.009010760446820946,-0.005447329276244197,-0.01743777212334328,30723000,62091100,9965500,9676900,19.13,1.39,0.6,5.87,10.94,-0.21,0.02456255350841056,251.989,1.92,4.0,51.36000000000001,18.391420911528233,51.95916666666666,0
Consumer Staples,0.024313023761595564,0.006343235446032292,0.039321721944882884,-0.01758018254032188,20120900,14784000,7110700,10451700,22.62,0.68,0.27,5.14,9.98,22.04,0.013378609570321255,248.991,1.42,4.1,45.25666666666667,69.78785662033661,45.321666666666665,0
Industrials,0.05850741704122709,-0.0830634227458171,-0.029796146504190667,-0.016203044754685657,1062000,739600,492400,878400,6.43,0.48,1.56,0.97,13.66,18.23,0.02659522256209517,252.038,2.2,3.8,72.31333333333336,93.38521400778205,72.955,0
Consumer Staples,0.004385850671751821,-0.019120488664859166,0.03359685889608393,-0.014043459752027792,3417100,4154800,2480600,2960300,9.26,3.2,0.49,1.02,1.91,1.32,0.02591940343018696,297.711,3.83,3.6,20.74,42.03233256351035,20.683333333333334,0
Technology,-0.01021393587875367,0.030115864882239985,-0.03657995996669383,0.01219330401225604,1695200,1056200,1178700,1115200,-67.81,-6.57,0.73,0.23,-6.44,3.81,0.029466734916399062,252.146,1.92,3.8,132.92666666666665,51.935862338677964,133.18375,0
Technology,-0.07932204477680532,-0.042398725790692385,0.0314093574601186,0.003502002189042287,48975900,39336400,47726000,37780300,31.9,0.38,1.77,1.63,33.89,40.61,0.021320450348185332,292.296,0.83,3.6,261.80000000000007,11.491299778115165,260.52750000000003,1
Health Care,-0.059669432671191944,0.016021533629623486,-0.03488371873543063,-0.06618925005351681,1131900,1131900,1189600,1570200,-20.69,0.69,2.07,-14.53,-36.58,-17.45,0.04601825124963065,278.802,0.08,3.9,77.60333333333334,24.49139280125202,76.95166666666668,0
Health Care,-0.03424665766024151,-0.03820822493120429,0.06302535505840448,-0.01967952709156048,6363700,5771500,4444900,3871100,617.52,1.07,0.63,-0.58,0.64,19.21,0.029065951544884134,258.678,1.58,3.5,20.991666666666667,26.605504587155902,21.14625,0
Industrials,-0.017782055890539217,-0.00784109686751609,0.07577685019761767,0.10296165751384324,258100,326500,209100,339100,22.57,0.29,1.34,2.72,-4.16,16.99,0.023888169199282005,259.918,0.09,8.4,74.10666666666667,45.87155963302738,74.38999999999999,0
Real Estate,-0.012304200936272235,0.033376384962465,0.022341860168634143,0.017199601204137795,541000,550600,733700,422200,29.73,0.62,,,74.68,-269.46,0.01884361899269186,273.567,0.1,5.2,204.88333333333333,40.856031128404645,205.37041666666667,1
Telecommunications,0.05849129238682002,-0.008796529848027453,0.031036538149263486,-0.04451073863750035,691600,868800,798500,979900,72.08,0.32,0.62,-4.04,23.14,-42.98,0.016913734791597995,273.567,0.1,5.2,182.3166666666667,100.0,182.10875000000001,0
Technology,0.0023184457201210476,0.1970396926998572,-0.07369320060453308,0.02819380476380051,1341500,1813800,1696000,2214400,-10.2,,,,-31.3,-14.82,0.03170641051096425,244.955,0.91,4.3,13.106666666666667,36.80981595092032,13.0625,1
Consumer Discretionary,-0.020134330006489735,0.0049049388799113965,-0.06932959509445759,0.01623649814032559,3851700,2961400,3181000,3284200,13.69,1.37,0.98,2.49,6.21,-25.86,0.021937235057743046,292.296,0.83,3.6,31.456666666666667,56.48535564853548,31.800416666666663,0
Industrials,0.03420698872941692,-0.004963727175357299,0.01861957175197424,-0.0007218213525870646,1054400,1188700,1065200,1136600,22.71,0.56,0.77,2.4,32.0,31.23,0.01675109893134442,287.504,0.33,3.6,128.5533333333333,79.64989059080966,128.70708333333334,1
Technology,-0.010045684668546027,0.05198552456449555,0.03456652148819548,0.015931858819971147,593300,1161800,859800,936400,17.14,1.18,0.98,1.23,5.39,3.23,0.017270052238868832,307.026,5.33,3.8,97.39666666666665,42.771804062126776,97.48583333333333,0
Consumer Discretionary,0.024868910943945156,0.029129340250577316,0.05408616551658008,-0.05691861452406641,986700,568800,699100,758700,22.68,3.62,1.11,4.51,1.79,10.76,0.014676043834610422,244.955,0.91,4.3,62.01666666666667,100.0,62.14875,0
Finance,-0.0031025646158229603,0.01195053460286681,0.02629666034121018,0.024491321098291646,1119400,1119400,1040900,1183700,28.33,1.24,,,-20.5,75.66,0.029951894284364133,247.867,1.42,4.0,99.4629,40.06690771466237,99.33088333333333,0
Technology,-0.058823544595359975,0.19563460613792905,0.13694856698337987,-0.08263068841417673,3673200,4321200,4395200,4651600,50.9,2.56,1.09,-3.82,1.43,-1.38,0.03066424901269349,297.711,3.83,3.6,14.28,24.561403508771956,14.170833333333334,1
Industrials,0.044392399105827096,-0.004578608091067519,0.012522177343940809,-0.007632258041820023,99100,375800,717400,315200,35.64,-5.84,1.65,4.55,16.87,14.6,0.01886332836587398,256.974,1.55,3.6,592.3166666666666,97.70904925544113,589.0466666666666,1
Consumer Discretionary,-0.03135555855525478,0.02534830243341194,0.026626545588537075,0.02309790923607498,2040500,2048900,1520600,1953600,19.2,29.52,0.56,5.06,12.15,12.78,0.014328439812435615,246.524,1.17,4.1,117.42666666666666,26.483431800667788,117.69083333333333,0
Utilities,-0.012172023340334827,-0.027616609636835415,0.033829215118428874,-0.013491144691832565,4920500,5116300,5870300,6142500,59.06,2.13,0.45,-0.49,-12.68,-3.84,0.01614609758378775,299.17,4.33,3.4,41.190000000000005,47.79195289499515,41.310833333333335,0
Industrials,0.03239636805984129,0.012807602597857072,-0.013904315790634487,-0.010686635709179097,201500,210900,228200,242300,20.97,0.91,1.09,2.27,12.52,19.15,0.022343392464856355,307.671,5.33,3.9,184.84333333333336,98.06295399515719,184.50125,1
Industrials,0.0010377905325834773,0.012658876476696416,-0.015935690583053885,0.027234533243441387,4846800,10033100,5193300,4862900,-23.0,-3.59,0.33,-1.41,-3.17,15.75,0.021582606055130734,300.84,4.58,3.6,216.03333333333333,32.72128656451817,214.45999999999998,0
Finance,0.004412816404638252,-0.013481344944203992,0.008481478573640146,-0.014200249690872043,1865300,1680900,3004500,1024900,16.34,0.36,0.05,2.44,85.57,38.72,0.02865375884751907,247.867,1.33,4.0,70.44999999999999,100.0,70.41833333333332,0
Utilities,-0.0009624522396724451,0.018028702828035502,-0.007295004223120306,0.013205698281127588,940400,1557200,796200,823700,16.0,2.33,0.29,3.36,15.83,5.02,0.015416353296809042,277.948,0.08,4.2,103.43666666666667,59.59595959595945,103.55875,0
Energy,3.0086266351509686e-07,0.028037347526399616,-0.009545724407951666,0.028869039426624218,4157400,4161000,973400,1429900,41.21,0.68,0.97,-9.21,10.81,10.81,0.025226486512467016,246.819,1.16,4.3,33.84983333333333,68.17226746501503,34.123575,0
Industrials,0.03021503475103029,0.052346605432344866,0.06005300562735069,0.030955953254347905,968500,1537700,1537700,1350200,17.6,0.61,1.33,-0.16,23.34,21.57,0.018426326733596267,256.389,0.05,14.7,77.75999999999999,76.51444547996265,77.55333333333334,0
Utilities,-0.008122376954871927,-0.025680797957855685,-0.011276529750285862,0.02307336565427009,1911200,3082600,2421600,3098000,37.97,1.06,0.27,-6.43,-21.51,-15.13,0.016093346910871487,277.948,0.08,4.2,61.37666666666666,61.227471992206574,61.82020833333333,1
Technology,0.018153905673336905,-0.030200440803158077,0.08652145679505228,-0.07474469735316742,5705000,7198500,17497000,7206000,129.41,,,,12.93,34.92,0.024990548634470443,251.233,2.19,3.9,14.84066666666667,44.03669724770637,14.735833333333332,0
Utilities,0.007269240049363211,-0.011171740728240799,-0.01894643827832628,0.006326931169305829,678400,714200,801900,616500,20.04,0.63,0.38,-1.66,20.79,-51.2,0.01460271560679806,307.789,5.33,3.8,115.54333333333334,47.58539458186103,115.25208333333333,0
Consumer Discretionary,0.0814035840929955,0.00992213378809181,0.0209840314968332,0.007655834266416443,6718600,7196900,6307400,4367700,1014.88,2.58,0.54,5.76,-1.12,6.89,0.029892459405673723,257.208,1.55,3.6,30.576666666666664,100.0,30.467916666666667,1
Industrials,-0.010806518523103445,0.010301468690673731,0.01861654013843849,0.02428208956772306,585100,525400,771100,705900,22.6,0.96,1.0,3.69,9.79,10.98,0.01733511439383568,246.663,1.16,4.2,294.03333333333325,25.289855072463833,293.64708333333334,1
Real Estate,-0.014389715950305507,0.0067852303902125035,-0.0007330769800409231,0.0284582561894767,2072400,1876600,2423000,3105900,22.92,0.74,,,32.31,-24.11,0.0246590251158315,244.733,0.91,4.4,54.176666666666655,35.518157661647464,54.17125,1
Finance,0.013051369864538774,0.01748190662537696,-0.0031835899680653793,0.017388301781388133,2541500,2340100,853700,966300,12.31,0.41,,,11.89,22.95,0.020103762731867796,305.691,5.08,3.5,61.50999999999999,62.447257383966225,61.329166666666666,0
Utilities,0.01206681302828607,-0.0059270656869446665,0.008970749441101529,0.004289945079055865,2011200,1987700,1586300,2109200,37.07,1.23,0.37,-89.35,9.49,5.29,0.01939231182761141,252.006,1.91,3.8,70.85333333333334,80.57142857142891,70.93666666666667,0
Industrials,0.042485987826785684,-0.0726835224626741,-0.008247724388342762,0.009239546054972627,899700,2650200,2650200,2832500,34.24,0.66,2.04,1.44,22.69,27.5,0.020380841638866456,260.229,0.09,6.7,455.60999999999996,82.82908704883236,457.01,1
Consumer Discretionary,0.021022551513403095,0.06682839389568018,0.23391898630454094,-0.14390911397555117,1679000,1255300,1913400,2290000,14.22,1.17,0.42,5.72,4.9,9.68,0.03271516988789562,256.389,0.05,14.7,70.15333333333332,73.57723577235765,70.62875,1
Energy,0.028040455712941472,-0.01793142117389829,0.012272212001940865,-0.019086409664304454,913500,515800,573100,407900,8.6,0.72,0.59,7.28,15.85,25.6,0.02043324569922314,305.691,5.08,3.5,31.34,96.05522682445753,31.339166666666667,1
Real Estate,0.028026246506073837,-0.021153225984894386,-0.021453289173875012,0.0376630486327396,1047800,934700,626100,639700,-9034.01,-3.1,1.01,4.06,3.46,34.83,0.04001023066512024,251.233,2.2,3.9,170.20000000000002,78.16091954023014,169.6775,0
Utilities,-0.009518288622465242,-0.027199005944643893,0.016991885358533982,0.06682417705652904,10713700,3255700,2527000,4685200,34.22,1.29,0.35,0.26,-6.86,4.14,0.013377937864029257,257.797,0.08,11.0,83.16666666666667,48.48876259364508,83.16791666666667,0
Basic Materials,0.11421932703349695,-0.11773814721437771,-0.018667719768327266,0.021649514316022564,35128700,23234600,26314100,34794800,15.11,1.66,1.19,-3.7,20.65,25.03,0.03197785714100895,248.991,1.42,4.1,18.679999999999996,100.0,18.744166666666665,0
Industrials,0.044509182905415945,0.022421611660720993,-0.004858783986958613,-0.025300237849676013,274400,454300,202800,202800,22.51,1.3,1.36,3.58,10.04,7.84,0.01726649167922599,296.311,0.83,3.6,493.37999999999994,88.94622939903448,494.1783333333333,0
Telecommunications,-0.00020090888890770812,-0.03773228775209787,0.032567460171494235,-0.0006394147112955284,49168100,34221300,32154300,41581900,16.24,1.04,0.71,2.04,10.08,11.98,0.022544935688992327,281.148,0.08,4.0,48.73,64.69679412900733,49.14791666666667,1
Consumer Discretionary,-0.018893207791137675,-0.004048504725898965,0.0042216233807964515,0.060146283538712465,1665800,1612300,1725500,1199900,52.28,0.66,0.56,1.16,14.21,17.35,0.016546346856485834,304.127,5.08,3.7,94.78666666666668,31.078224101479755,95.02583333333334,0
Technology,0.020913399103917808,-0.03540550671309558,-0.005527202347874583,-0.04140481782255544,23063700,26340800,20159100,29557000,14.75,3.63,1.91,11.47,26.25,26.7,0.030144475528230585,258.115,0.12,4.4,45.893333333333324,67.70277726687513,46.47375,0
Telecommunications,-0.010197380673035737,-0.010514564807511114,0.0165630880955241,-0.011371258517042883,763800,563400,793400,1248800,18.57,1.15,0.35,1.12,10.87,9.24,0.014309790278980937,249.554,1.68,4.0,42.903333333333336,21.015761821366237,42.8825,0
Technology,0.013431912778322161,-0.0025963235810883244,-0.0728865747192161,0.004060307028542667,393200,319300,315300,382600,,,,,,,0.041436572991945815,259.101,0.1,10.2,96.73333333333333,72.14961694456953,96.91333333333333,0
Health Care,0.02116384167328734,-0.02017318156834174,-0.002329918408108533,-0.010690734017991812,372800,481800,654900,422500,18.75,1.09,1.53,4.61,3.5,8.46,0.02727266524026358,271.696,0.1,5.9,247.05999999999997,63.688710521723955,247.145,1
,0.030925526766216137,-0.011505854816458288,0.0033954389600745795,0.012143296415181647,330300,368700,368700,384900,7.3,0.27,1.17,2.04,318.73,16.46,0.015305473159813149,267.054,0.07,6.1,90.08666666666666,97.8835978835978,89.81833333333333,0
Consumer Discretionary,0.04667259884819879,0.0008648194394859275,0.022362869723282195,0.019677985899859664,1482400,1614300,2118900,1391000,13.55,2.84,0.67,6.23,9.97,-3.2,0.017736626772436353,256.571,2.41,3.7,84.02,100.0,83.92791666666668,1
Finance,0.015995401677648628,0.03335295634812337,0.09821724140481519,0.017815791654616126,2435400,2390600,1783200,1497000,157.87,2.88,,,52.45,-102.23,0.021564165510667154,259.101,0.09,10.2,35.4,73.4992679355787,35.42708333333333,0
Health Care,-0.004808846622679587,0.017773696700630844,-0.017131575582669076,-0.02074281446979574,2751300,1475300,1475300,2525900,9.98,0.68,0.74,7.8,3.4,-1.28,0.020478989965228872,273.003,0.1,5.4,236.39999999999998,42.535211267605774,236.225,0
Consumer Discretionary,0.014522050419819004,0.0119306643523782,0.01192603176180498,0.04131847571530394,497800,574300,348600,333900,26.25,0.82,2.48,2.51,9.21,5.89,0.020664108636257544,267.054,0.07,6.1,140.34333333333333,74.33309300648882,140.34291666666667,0
Finance,-0.0333354858945737,0.007557497690293929,0.04336644753736637,0.06264135274388032,500900,495200,439400,480300,10.18,0.81,,,-4.66,29.67,0.02721987220669032,260.388,0.09,6.9,166.13,18.864990930292734,164.94041666666666,0
,0.02471907566115892,0.01573065978337112,-0.06315060638348405,-0.027247074835768527,319500,346300,391700,248300,52.38,0.18,2.13,0.36,19.75,49.83,0.026435522253200498,304.127,5.08,3.7,306.2699999999999,82.86079727137104,305.42,0
Industrials,0.1592343948534108,0.06819033098867491,-0.05282457332182412,0.03735149140216711,2094300,1021000,2165400,1062800,21.99,1.22,0.87,1.61,9.9,21.73,0.020354665375618374,260.229,0.09,6.7,250.50333333333333,87.67001669093366,251.89416666666668,0
Finance,0.02380272400185967,0.020336416127428907,-0.0309087915728659,-0.046376577798768664,2208000,3115200,2639300,2454300,8.54,0.56,,,24.11,-146.19,0.02302829684710813,296.808,2.33,3.5,72.57333333333334,48.46174789000829,71.95625000000001,0
Industrials,0.030325875197206333,0.01609972415684342,0.06011626630914793,-0.03134827152578163,229200,302600,251600,169700,26.91,-12.97,0.91,5.11,10.48,24.15,0.022713652584976804,252.038,2.2,3.8,214.5433333333333,79.97993981945832,216.08916666666664,0
