industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label,pe_ratio,debt_to_equity,quick_ratio,total_shareholder_return,profit_margin,free_cash_margin
Finance,0.027909901207635732,0.07391005300709819,0.009628650028716377,0.03598143436533454,51208800,64548600,70813600,42128800,0.023950822451391955,305.691,5.08,3.5,32.40333333333333,69.45010183299381,32.290416666666665,0,,,,,,
Health Care,0.018042985322375887,0.025785075704242582,0.015175809573856442,-0.030062234666636437,791520,1698974,794430,862058,0.025702835628810473,251.712,2.4,4.0,113.34606666666666,67.57513829674777,113.33175833333334,1,14.43,0.87,1.22,0.88,5.66,13.07
Consumer Discretionary,0.19155143159508528,-0.03784168873194067,0.271836017660144,-0.14351145493859865,23566500,26099400,13682100,13384300,0.045407307954900465,296.171,2.33,3.7,16.183333333333334,78.65979381443296,16.038333333333334,1,,,,,,
Industrials,-0.03443607543653203,0.00407500847432677,-0.006624055464131677,0.013678259819338906,2220908,1397194,1143376,918836,0.012245987832406185,256.571,2.41,3.7,66.1435,12.79745859492311,66.17173333333334,1,,,,,,
Industrials,-0.011566835720728065,0.015754342872317247,0.02406346938635008,-0.013487995794880218,462000,626300,463600,480100,0.01695502532286802,243.603,0.57,4.6,37.586666666666666,22.295081967213413,37.642916666666665,1,16.73,0.66,2.17,-0.58,15.01,14.74
Consumer Discretionary,-0.013485249839681404,0.005934597886384443,-0.028564375067504238,-0.03276723697573479,15968200,3939100,4564400,5963700,0.02177862586343817,249.554,1.43,4.0,23.516666666666666,18.237082066869096,23.48708333333333,0,14.13,0.62,0.93,6.61,9.74,37.59
Consumer Discretionary,0.012960082061055693,0.023291768119858197,-0.024037241887377117,0.004259899094916504,1111900,1536000,1685400,1541000,0.01938283519376764,240.628,0.4,4.8,91.86333333333333,77.42857142857166,92.24000000000001,1,30.14,0.63,0.99,3.44,3.55,10.66
Basic Materials,0.03758125517623102,0.03485051798808214,-0.022567025285519605,-0.02151969591727419,3539184,3368006,3037584,1345661,0.019772872681863018,244.955,0.91,4.3,50.86363333333335,86.77535915652751,51.018299999999996,0,,,,,,
Industrials,0.04075083489592399,-0.03391373101773422,0.05623044995978983,0.07108334528560721,1786600,2277000,1409100,3562100,0.022757760744188435,296.797,3.83,3.5,152.73,69.23292665825271,152.10875,0,3.26,0.38,1.66,12.76,16.14,22.42
Consumer Discretionary,0.05335849639273466,0.050098893865639246,0.02952156699191654,-0.08221747006606797,739700,722200,1043800,762100,0.02507102312764519,303.363,4.83,3.4,33.27333333333333,100.0,33.272083333333335,0,,,,,,
Health Care,0.032750195016663444,-0.0007768676291201637,-0.06721012741296012,-0.03208834044411291,363000,318500,429700,301400,0.03237840701600825,251.588,1.7,3.8,107.62666666666665,54.42608105048669,106.86166666666666,0,10.04,0.11,4.61,4.36,62.82,61.18
Industrials,-0.11404436366040646,0.035514069120469886,0.0538813614608258,-0.04357836528859597,729900,833100,1051000,753600,0.023977760554025583,296.311,0.83,3.6,163.40333333333334,0.0,163.83499999999998,1,24.55,0.4,1.06,1.29,6.97,0.08
Industrials,-0.030812454715251843,-0.043007547714052206,-0.0856407517631425,-0.030058018336046044,1698200,5465600,3989800,2894900,0.04194279347605122,278.802,0.08,3.9,149.49666666666667,48.49616669942998,150.47,0,,,,,,
Health Care,-0.06975407238736064,0.03919447487336619,0.07345423156889046,0.03875437889123681,2118200,1947100,1817000,1557800,0.02120340457751804,256.394,0.05,13.2,181.87333333333336,22.428540097960383,181.47916666666669,1,28.82,0.8,1.61,1.19,13.74,12.46
Consumer Discretionary,-0.01708196310840566,-0.0234721439157273,-0.015549801103984854,-0.03829518663863611,3901800,3575250,2272200,2317350,0.020875594921660637,249.554,1.68,4.0,42.728888888888896,53.93145161290319,43.05833333333333,0,14.92,1.1,1.62,2.7,10.8,7.16
Industrials,0.006586553494805856,0.0527749974392341,-0.05166061630170563,-0.03080047418644512,172800,336600,174400,247000,0.026332520078329414,264.877,0.07,6.1,394.46333333333337,50.71405562117466,393.14875,1,35.97,0.24,1.7,-1.06,16.32,26.81
Technology,-0.03786859065278404,0.03602738053831336,0.009318903497179553,0.09010072806513361,265400,281600,521000,293900,0.032892058706872424,257.797,0.08,11.0,359.2033333333333,43.707904998227534,361.7620833333333,0,70.07,0.01,1.53,-2.88,17.19,16.65
Real Estate,0.023728596977055948,-0.030960403699425317,-0.03542213163352553,-0.009820935787910236,881900,850200,693900,827700,0.018477637157780464,236.916,0.38,4.8,175.95333333333338,60.19891816436922,175.62666666666667,0,33.97,0.66,,,32.32,-7.01
Consumer Discretionary,0.025504894568124173,-0.016210822989647152,-0.03377821351776657,0.013248586311580707,1661700,1223300,1155300,1062200,0.016590815796155376,256.974,1.55,3.6,71.41333333333334,77.19054242002734,71.32458333333332,0,21.97,2.9,1.74,2.82,6.28,10.06
Health Care,-0.023941787773007234,-0.013863005617600923,-0.013333212653209693,0.027756565864924664,892775,1707138,929880,1087833,0.016324860327033914,257.346,1.85,3.6,244.21273333333338,23.975597407099762,243.31579583333334,1,111.31,0.92,0.52,0.12,3.27,22.05
Telecommunications,-0.0089259104112731,0.0020293443537607665,0.031155578628944042,0.010810789165076487,3401800,2011400,3008600,2721700,0.027871389197181202,267.054,0.05,6.1,132.74,36.013036393264386,132.69166666666666,0,51.12,1.63,0.72,-44.66,4.72,2.42
Consumer Discretionary,-0.05344141545853521,-0.036021697339093835,-0.005989431738739218,0.02434244453682291,1077200,1594100,1365100,1365100,0.03726493279299439,260.28,0.09,7.9,138.71333333333334,24.96116002071471,139.66333333333336,0,21.82,1.96,0.56,4.96,10.66,26.84
Technology,0.02311049939106274,-0.009807235990433674,0.03545339058376755,-0.026028076624102833,9691600,5151500,5016900,5866600,0.02461840451709836,236.525,0.13,5.0,58.03999999999999,82.75666477595006,58.305416666666666,0,17.09,0.41,1.69,6.33,23.27,37.04
Utilities,-0.0038801039417953867,0.015384499522443388,0.011001449147879906,-0.036021097727365156,1584900,1260600,1008700,1826600,0.014648204392405648,241.729,0.41,4.9,54.17333333333334,23.595505617977626,54.080416666666665,1,19.2,0.97,0.45,3.15,13.01,8.92
Industrials,0.09048704004391486,0.040101446280538224,-0.04673110516731571,-0.013165028633863533,770500,1386700,1015300,795700,0.03120895364433153,298.012,3.08,3.7,274.2766666666667,84.4889076950976,272.725,0,20.88,0.03,1.59,3.73,23.53,20.8
Technology,-3.5387637127093866e-05,0.006361718619477123,-0.04856608750298325,0.10353041998217648,1491100,1676900,2314000,1333200,0.01934255177263475,263.014,0.07,6.2,67.56333333333335,34.08252264340826,66.98916666666668,1,29.79,1.18,0.92,-0.77,16.38,33.7
Consumer Discretionary,-0.03387787515681944,0.030025473859494733,-0.01784834702319946,0.022750493683331038,383700,413600,270400,270400,0.019081970601436207,305.691,5.08,3.5,484.5933333333333,0.09925558312646099,484.42083333333335,1,35.62,0.69,1.04,1.61,15.15,19.55
Consumer Discretionary,-0.0006666819254557292,0.07913672026316472,0.02130785960091847,0.027945611174873475,5710500,5537500,7609700,7308800,0.03334989316419986,256.143,2.4,3.6,14.9,54.74452554744524,14.940000000000001,1,118.75,0.0,3.11,0.65,17.21,16.14
Consumer Discretionary,0.01349295139814958,-0.00859930002655807,-0.010400948124854906,0.02599954595697012,770200,894000,602300,401900,0.018955842523211773,244.733,0.91,4.4,52.876666666666665,54.308093994778,52.631249999999994,1,34.44,1.54,0.81,0.95,1.17,-1.69
Industrials,-0.03157543070647363,-0.017059230258512102,-0.016158140109249295,0.0009746918393068949,1190100,530250,974100,596100,0.03315805563811812,243.801,0.91,4.4,58.14444444444444,9.117938553022748,58.08222222222222,0,23.91,0.06,1.19,2.52,9.19,12.69
Consumer Discretionary,0.07003203652937466,-0.015754976941799618,0.059210481216549,-0.004949677111391644,3947600,6259400,11939000,5442800,0.023298755892761126,255.548,2.41,3.6,34.38624999999999,82.00972447325768,34.19262916666666,1,23.83,0.3,1.76,2.99,14.82,11.62
Finance,-0.0163475935980056,0.06293058675001492,0.07181230668443475,-0.009966762234148718,1800,1600,600,4800,0.023084918693558346,252.776,2.4,3.8,66.76333333333334,19.85896269335841,66.81753333333333,0,,,,,,
Industrials,-0.04899277580192451,0.0040451944632993835,-0.05703568381096173,0.015557579827763372,2426200,2426200,2018100,1554200,0.020259279327491324,281.148,0.08,4.0,595.2633333333333,11.15065243179132,597.6324999999999,1,34.04,0.85,0.93,0.7,15.49,15.3
Industrials,-0.01370284844070941,-0.0087620578840128,-0.02593211715530958,0.006798693656130736,542600,511600,422400,621900,0.020439202842854304,246.524,1.16,4.1,206.51666666666665,28.032683846637358,204.98916666666668,1,29.79,0.4,1.32,1.69,13.93,8.65
Consumer Discretionary,-0.017643001750049844,-0.0005290424119637437,0.05037962090458412,0.05449212913457092,1973510,3040299,6489797,3434654,0.01786982125903555,273.567,0.09,5.2,45.07996666666667,48.18405125477984,45.19604166666667,1,26.87,3.89,,,4.46,-1.43
Industrials,-0.05788900915380471,-0.09714226404420423,-0.0414540492488094,0.013191219626641142,1930200,2286700,2162000,2061300,0.019175632595657202,258.115,0.1,4.4,81.48333333333332,28.348453809384456,80.82583333333334,1,26.16,0.62,2.4,-0.53,14.89,15.07
Real Estate,0.02161346936760224,-0.0745174996219756,0.023648174760516092,0.039418369426430275,3234400,4433500,3023800,2779500,0.017051204306034285,296.797,4.33,3.5,66.91000000000001,68.26347305389248,66.93416666666667,0,146.38,0.81,,,-0.46,5.68
Consumer Discretionary,-0.09666875835094837,-0.11894620185237853,-0.060816394985609624,0.08458798147671932,398206500,280278000,270058500,307893000,0.03256823116456191,256.092,2.38,3.7,12.863317777777779,12.404850899993262,12.944874444444444,1,-49.91,2.5,0.37,-2.28,-15.46,-20.81
Telecommunications,-0.03301586845328491,0.05566156846604465,0.00017341378653934705,0.03556024115634078,11408100,16331100,17283900,20547100,0.015135588055820293,255.548,2.41,3.6,58.830000000000005,23.319027181687996,58.91583333333333,1,15.26,2.43,0.69,3.2,15.66,8.76
Consumer Discretionary,-0.08091782863093944,0.08093993445294202,-0.02420382923932688,0.043882968689236156,5021900,4644700,4616800,5165700,0.03862553269618817,303.363,4.83,3.4,7.696666666666666,4.166666666666761,7.720833333333333,0,31.8,0.11,2.12,6.92,16.39,26.44
Technology,0.07608228136883373,0.004142703463113906,0.0003228973649538434,-0.010780786769732303,1296700,2005700,1103600,859600,0.02521117472367053,304.127,5.08,3.7,406.63000000000005,67.97910057846619,401.0745833333333,0,61.43,0.12,0.9,0.92,19.57,46.92
Technology,0.045168100127791024,0.024390255582672108,-0.007829224829769136,-0.03997267024242942,5137200,4087100,2907300,3877400,0.04979567338013733,242.839,0.66,4.7,29.209999999999997,93.59430604982208,29.33875,0,-60.83,,,,-15.38,-7.68
Consumer Discretionary,-0.04641197179448471,-0.031514473823397435,-0.0327291227993904,-0.02426401598800799,5384600,4851200,3943700,5979400,0.02301959472781923,281.148,0.08,4.0,56.55666666666665,22.125272670613857,56.46333333333334,0,39.83,0.21,1.67,1.46,15.09,7.52
