industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,quick_ratio,total_shareholder_return,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label
Consumer Discretionary,0.02586570116787509,0.03631648002878917,0.013140571093433766,0.023766847747900163,163900,314300,170300,182800,23.72,0.71,1.47,-3.6,5.06,26.75,0.03420297225965942,240.628,0.4,4.8,24.740000000000006,62.17616580310874,24.630833333333335,1
Finance,-0.010090850295423249,-0.09568497094880006,-0.020556797641091966,-0.06270932241081495,230500,230500,1003000,616500,21.17,0.29,2.15,-2.34,12.97,34.47,0.02671471852146963,251.233,2.4,3.9,66.63333333333333,55.85185185185183,67.57333333333332,1
Energy,0.021101555979983706,-0.008158928567046763,0.014028819592711511,-0.0046545302743976205,3597800,4032300,4412000,5627700,6.15,0.17,1.64,14.24,17.64,6.5,0.025016630613596116,307.789,5.33,3.8,28.443333333333328,68.49315068493154,28.4075,0
Consumer Discretionary,-0.008430613835004012,-0.008884337168306892,0.02807605041047636,-0.0061463721112232795,2889100,3084900,3088000,4878000,24.92,-4.7,1.33,6.57,30.49,33.12,0.016979331129839296,251.233,2.19,3.9,183.90666666666664,31.26734505087877,183.72583333333333,1
Utilities,-0.005397719707274536,0.06344444931868322,0.047468493953205175,-0.0645096064985611,667900,174000,133900,133900,47.04,0.7,1.2,-241.32,2.94,-15.69,0.04249238417180994,234.722,0.12,5.5,35.019200000000005,43.39053203414671,34.74565,1
Consumer Discretionary,0.06551722822518184,0.04316549625439256,-0.03472222314204701,-0.04318940624364547,869600,779300,823700,621700,-19.61,0.12,2.7,-43.3,-9.75,-24.52,0.03444432134016329,250.546,1.69,4.0,15.133333333333335,83.8150289017341,15.235416666666666,1
Technology,-0.034452923382163145,0.021724812967735173,0.018603223861353907,-0.04361863733178414,1355900,717300,1099800,795800,31.79,0.04,0.7,-1.3,11.72,37.08,0.025433593562031755,257.346,1.85,3.6,134.25333333333333,35.57575757575763,134.2,1
Utilities,0.017701570173549605,0.0035791423279331303,-0.0005295054580340829,-0.013206324324786198,236400,213100,132500,134700,22.14,0.68,0.24,2.14,6.98,29.89,0.011997579153695702,252.006,1.91,3.8,75.89,82.3963133640552,76.22375,0
Consumer Discretionary,-0.08970830196699402,-0.0016483544890673987,-0.08680385285055944,0.076327664027006,1176200,1764400,1101100,1913700,-241.03,0.88,2.06,-11.13,-17.66,-8.68,0.03282485872583539,257.797,0.08,11.0,51.48666666666667,22.7892794094046,51.35916666666667,1
Health Care,-0.04440026968316778,-0.020447879639303713,0.0349344639632846,-0.028711229093607384,566900,466200,459500,459500,21.11,1.45,1.02,-0.88,8.36,33.28,0.050961663054007,260.28,0.09,7.9,28.836666666666662,20.081967213114723,29.071666666666665,1
Utilities,-0.01244913698982306,0.004086586295149374,0.0004809197254885987,-0.019339614747978975,1547700,2929100,1548000,1079200,28.09,0.55,2.34,0.32,2.78,-1.56,0.04267704103745831,307.026,5.33,3.8,40.88333333333333,51.48809523809521,41.16583333333333,0
Industrials,-0.04269823273242643,0.014157158390721276,-0.006958560621886533,-0.05667430856713382,1108000,748300,1453300,1669400,14.95,1.88,0.35,7.92,9.98,14.97,0.019274143170516587,307.789,5.33,3.8,410.1233333333333,0.0,410.5825,1
Health Care,0.023735915235907595,0.02043651842041209,-0.0212372054089479,0.0064619937265841965,515700,490100,560000,698100,22.42,1.11,1.43,1.29,10.47,10.59,0.021713097748761817,240.229,0.37,4.8,82.08000000000003,68.40952641664384,82.34083333333334,1
Consumer Discretionary,0.07622150144741043,-0.029709185993743125,0.0018999197621068773,0.03135202671982326,3183800,3110500,1545800,1034500,28.52,5.12,1.8,3.42,15.81,28.74,0.02459790659587975,296.276,1.58,3.5,16.653333333333332,64.87424111014747,16.523333333333333,1
Energy,-0.03514400314151094,0.04768589102296809,0.027747701941681555,-0.02150918853069099,439000,345400,459200,784000,112.36,11.81,1.03,-66.7,7.02,50.19,0.02932066475505607,296.171,2.33,3.7,28.959999999999997,14.108425865447469,28.84375,1
Industrials,0.01689774700835968,0.036101134003660676,0.007141844990709864,0.0043036885748922605,717500,2371400,3941000,5221400,23.34,0.58,0.52,0.57,41.71,8.44,0.018342506201949427,305.691,5.08,3.5,80.55666666666666,68.67749419953594,80.86916666666666,0
Consumer Discretionary,0.05444371452593113,-0.058073610405018426,-0.03632968833422988,-0.038525669545724804,319400,230300,157000,157000,26.95,-4.66,0.83,0.56,27.43,24.07,0.02214410420113731,251.233,2.4,3.9,70.77666666666667,82.51192368839435,70.60083333333333,1
Consumer Discretionary,0.04590601423750899,-0.04340008141446703,-0.017411061516618254,-0.02160225741387044,127300,130200,160500,223800,21.59,0.31,0.4,0.51,3.03,-2.44,0.02622781495738675,292.296,0.83,3.6,76.71333333333332,87.33832539142267,77.01541666666667,1
Consumer Discretionary,0.05445839300513399,0.07472385415123993,-0.06825199994810983,-0.010184388440666351,930800,1331100,3055500,1772000,29.73,0.71,0.31,2.24,15.76,10.58,0.016597598838756892,296.311,1.58,3.6,91.79333333333334,86.11026500152293,91.69333333333333,1
Technology,0.019555479752591736,0.06656033860808502,0.0029720450029604457,0.023876414527566902,87100,81800,80300,71900,12.63,0.55,0.61,7.19,10.02,4.74,0.040057614356206445,296.276,2.33,3.5,93.83,79.98050048748786,94.29958333333333,1
Health Care,-0.022099483739648918,0.0647059289183532,-0.00649346949821248,0.01717300325704338,1148800,1398200,1500200,2127700,22.93,0.8,0.46,-0.27,8.45,9.36,0.013933361835021278,307.789,5.33,3.8,16.173333333333336,3.4285714285715514,16.113333333333333,0
Utilities,0.006781059329331697,-0.009237983823744663,0.026066350087625756,0.02929102883223835,505300,528100,507400,1080800,26.35,1.2,0.54,2.23,31.48,13.29,0.1135950562574573,271.696,0.06,5.9,47.44,67.19576719576722,47.41791666666667,1
Consumer Discretionary,-0.009326667143381985,-0.022963298800646556,-0.029708158209989767,-0.026510679123365057,1272700,943900,1047900,1165000,16.07,0.13,1.49,1.84,8.39,5.44,0.02262104860285215,283.716,0.08,3.8,106.55333333333336,25.986842105262912,106.45041666666667,1
Technology,0.10093408940735876,-0.03991903616712634,0.028869085260531346,-0.03586800730933245,505600,1319400,403400,542800,34.69,0.09,2.39,-0.77,9.52,8.48,0.030861592774733364,271.696,0.1,5.9,36.23666666666666,99.41520467836268,36.10666666666667,0
Industrials,-0.012629465106104718,0.05540397827846103,0.05685677300067879,-0.0215875758485619,87100,125700,125700,102000,16.12,0.67,1.31,3.29,3.9,3.78,0.020179035535771512,299.17,4.33,3.4,65.90333333333335,32.128514056224915,65.51083333333334,0
