industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label,quick_ratio,total_shareholder_return
Finance,0.00386951577201408,0.025440722121134414,-0.005223960345180543,0.008547126302006996,2770100,2877800,4251000,4043800,16.62,2.61,15.65,33.33,0.021977355671804807,246.819,1.16,4.3,88.34333333333332,52.13379469434777,88.31166666666667,1,,
Real Estate,0.002262417702130393,-0.06339398651097247,0.05593878781118232,0.04951091729949515,709500,817000,865500,936000,26.02,20.42,9.57,10.93,0.02022791728740065,300.84,4.58,3.6,53.203333333333326,50.925925925925796,53.2125,0,0.69,4.5
Consumer Discretionary,-0.0671273471410904,-0.01841108378243955,0.003173385216620329,0.003410628610814064,1935656,3661505,3207313,3074086,13.42,0.89,9.56,21.59,0.029183647635326337,237.111,0.38,4.9,37.74873333333334,15.180236522336072,37.73276666666666,1,,
Consumer Staples,-0.013687587266200339,0.01492848921497722,-0.07605348154795998,-0.0009568147098435284,3496900,1925600,1925600,1733900,29.75,0.45,8.45,3.71,0.016170167267417015,296.311,0.83,3.6,48.526666666666664,18.315018315018285,48.47416666666667,0,1.13,1.44
Technology,-0.021731238478036378,0.006543236752042197,0.05962780098746677,-0.05041367183764595,2208200,2208200,3595000,2218400,22.28,0.21,13.22,9.1,0.034816225878805535,233.707,0.12,5.7,52.826666666666675,7.636363636363885,52.910000000000004,0,2.34,-0.62
Consumer Staples,0.01737930289328655,-0.012734273601750695,-0.018162375614001455,-0.008482586841933357,1987500,4365900,1715900,1753900,28.53,0.45,11.59,-39.04,0.021023191892900365,237.805,0.13,5.6,74.5,79.02298850574714,74.52541666666667,0,0.4,1.25
Health Care,0.03790890721737892,0.0598953427684105,-0.04549784435889744,0.09294454122786948,854500,1072500,1111000,1931500,11.48,1.31,53.98,94.51,0.027631115301125088,260.388,0.09,6.9,44.25666666666667,73.10344827586187,44.041666666666664,1,10.26,0.4
Utilities,-0.27092509833038947,-0.005839584390843062,0.13301560453450492,-0.19908642743367713,575800,586700,308000,137200,92.25,1.8,-7.39,13.3,0.02377866626518315,237.111,0.38,4.9,21.14,11.087084725771586,21.342083333333335,1,2.35,3.91
Real Estate,-0.004645817020167914,-0.021961240143038806,0.0018969004999243237,-0.005283032652869699,1468700,976800,966900,1707800,97.3,0.53,7.88,24.29,0.01089488998740506,256.974,1.55,3.6,25.75,42.92379471228626,25.729583333333334,1,,
Health Care,-0.02406139641038727,0.015306593182265208,0.05423458206031272,-0.009316896868210408,1383000,1976100,1976100,872400,23.17,0.98,1.32,-1.73,0.020679670028673408,236.916,0.36,4.8,195.79999999999998,18.056562726613695,196.10833333333332,0,0.6,2.19
Health Care,0.02913731780800807,-0.02228479530108046,0.02959963642570273,0.0033116425027160303,1075600,959400,732700,499200,16.93,-3.33,1.53,2.15,0.020368877551526506,299.17,4.33,3.4,378.0366666666667,94.20365535248035,380.1591666666667,0,0.49,7.49
Utilities,-0.002480538249662432,0.039316798215868504,0.0074676015030999575,0.04513061321020206,3255100,5403500,5403500,3729300,12.24,1.47,18.75,-9.63,0.017792479877139576,289.109,0.33,3.6,32.28333333333334,34.48275862068971,32.23583333333333,1,0.48,-11.75
Finance,-0.037419178228758974,0.025345763299362754,-0.04327033348552995,0.012547141048731229,2360400,2488400,2118400,2448300,13.0,1.03,25.29,54.64,0.029501487883123272,251.233,2.2,3.9,88.02183333333333,23.02035625501915,87.09566666666667,1,,
Real Estate,0.09008146885232733,-0.020225287512160052,0.04199680453611715,0.03104867570416127,2152200,1628000,1915700,2781200,34.43,7.43,31.43,17.71,0.029500610628183863,297.711,3.83,3.6,218.03666666666672,76.32300796146383,218.27583333333337,0,0.45,-0.15
Industrials,0.014188712645338789,0.00682679167967229,0.01893591108590387,-0.014785029202348749,1276300,1121300,1444800,935500,26.92,0.51,26.63,22.83,0.026881529853058923,277.948,0.08,4.2,160.23666666666665,68.59829433632186,160.79625,1,1.61,2.07
Industrials,0.01933708170329321,-0.017639271132196953,-0.00807547621975638,0.04189451002901908,153320,171094,142969,205664,28.77,0.63,11.02,13.6,0.026184647468858256,240.628,0.4,4.8,33.989973333333346,100.0,33.945813333333334,0,1.33,-0.13
Technology,0.019104734860063536,0.013078961099420732,0.030864276353853956,-0.0012976438979536876,1309800,564700,1134100,384400,28.79,0.94,3.28,9.91,0.016715342107802608,246.524,1.42,4.1,64.55333333333333,85.22427440633221,64.74916666666667,0,1.03,-32.81
Finance,0.028611610807667998,0.07785633266781364,0.07851702766746436,-0.07607060023829089,1017500,905800,1247900,1308400,45.47,0.34,5.04,36.28,0.022544256548069568,256.394,0.05,13.2,20.953333333333337,78.72340425531915,21.266666666666666,0,21.93,1.31
Technology,0.04253786504899896,-0.050328448170119194,0.04731368511690311,-0.028786403282444247,7097300,9750100,11071600,10460800,18.83,2.12,22.21,30.6,0.031298227125143234,264.877,0.06,6.1,131.32333333333338,76.7003367003367,131.375,1,1.64,2.53
Finance,0.011246580026790414,-0.02543683652734755,-0.023624506418500082,0.016314394540702427,800000,814600,785700,1282400,14.25,1.32,9.97,259.21,0.018681421869717735,301.836,4.57,3.5,94.41333333333334,67.4500175377061,94.84958333333333,0,,
Industrials,-0.10420000533108356,-0.03822721683757097,-0.11977079576668347,-0.03738077492368878,883900,1548300,1271200,782600,24.11,0.57,5.9,2.41,0.02411661844993303,258.115,1.1,4.4,87.94999999999999,21.216292817232155,86.62791666666666,1,1.23,3.1
Industrials,0.06637935238291934,0.02951933420074139,0.007953411031225384,0.16188686472295627,4021546,4819718,4172359,3847946,29.51,0.84,13.26,15.82,0.02219811157744119,256.389,0.05,14.7,138.04930000000002,87.69958304791326,137.56695416666668,0,0.92,1.98
Technology,-0.025433046229260278,0.13183156330459578,0.07609423130411325,0.1367531875243424,6292800,11346500,5419700,6577700,-18.48,1.06,-5.42,3.6,0.03870360566113735,256.571,2.41,3.7,51.95333333333334,52.24067690379195,52.59041666666667,0,1.22,17.44
Consumer Staples,-0.005568771591880593,-0.016282130923336656,-0.15107922465391435,-0.03957288296848335,7259600,7904100,7445200,5564900,-3.41,0.6,7.01,12.83,0.016618127770501624,256.558,2.12,3.7,25.30333333333333,34.8979591836735,25.229166666666664,1,0.45,6.54
