industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,quick_ratio,total_shareholder_return,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label
Industrials,0.02849962902933907,0.010336154858293875,-0.009172618374117146,-0.006195317904625706,1985800,2424900,2077900,2058200,26.87,14.53,1.01,4.59,8.69,8.25,0.014264303600917365,245.519,1.16,4.4,114.20999999999998,76.34920634920644,114.08500000000001,0
Consumer Discretionary,0.024190216058630008,0.021134093285418595,0.01502521470527122,0.012463226668953994,1162200,1016600,1702200,840000,25.07,2.91,0.43,4.6,11.57,66.31,0.020739101133033025,237.945,0.14,5.0,58.26333333333334,82.22222222222231,58.23583333333333,0
Real Estate,0.00871393616462223,0.03795513999605078,-0.021338667785405614,0.007361230161822385,1779800,1222500,983000,1696800,129.61,1.23,,,6.18,-9.44,0.020941185324273224,257.346,1.83,3.6,128.79,66.88934069125764,129.0054166666667,1
Industrials,0.01312590483357489,-0.01050216722585353,0.04888533193037514,-0.04642918901943324,307700,504600,921500,695900,5.94,1.03,1.71,8.14,22.33,23.3,0.025232515193957153,278.802,0.08,3.9,159.77666666666667,65.58139534883726,160.0,1
Consumer Discretionary,-0.034465736207216845,-0.03447446997672551,0.01408113256596699,0.008323137461150319,777000,479900,1041100,382500,37.84,,,,3.51,-9.33,0.024750889350623726,240.229,0.37,4.8,38.669999999999995,41.68824443293623,38.8225,0
Utilities,0.024144072914643253,-0.024417928394709583,-0.02295508635807505,0.026337512277305374,146900,49000,20600,3600,,,,,,,0.015089114979875022,300.84,4.58,3.6,95.8583333333333,50.585144494865176,95.83,0
Technology,0.020734122473420567,0.054980690140935894,-0.06906979617151641,-0.06484819219012423,19376100,33252300,25771200,39842200,-90.56,0.48,0.97,0.28,2.1,0.5,0.025035941227608213,307.671,5.33,3.9,36.22666666666667,85.38102643856955,36.233333333333334,1
Technology,0.008630603727372869,-0.00637483167218235,-0.0018936524156146343,-0.04006394645344377,3843900,4545100,3266400,3454000,148.8,0.04,2.8,0.28,-7.82,-14.99,0.038081525141621844,298.012,3.08,3.7,136.57000000000002,39.73466546556383,134.21916666666667,0
Finance,0.016906365311813557,-0.009229848183823894,0.024395702392777725,-0.0016313840721379608,185200,207600,269200,325200,91.32,0.01,,,21.21,51.97,0.022690514897479155,273.567,0.1,5.2,87.92,87.12715855573006,87.99791666666667,1
Utilities,0.019267843664552867,0.005424269141801112,-0.001547415425580818,0.0,5000,86300,27700,18000,,,,,,,0.006030412942910623,273.003,0.1,5.4,26.173333333333336,83.85964912280699,26.244166666666665,1
