industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,quick_ratio,total_shareholder_return,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label
Consumer Discretionary,0.005184658868499337,-0.017093115708889724,0.056533940877884416,-0.05501372708795849,3192200,3973700,3718400,3711300,28.36,0.69,0.21,3.26,13.44,13.55,0.02113812995791535,296.276,1.58,3.5,93.42333333333335,56.14678899082585,93.24666666666667,0
Health Care,0.055094028442556925,-0.0381637825361354,-0.04009939986851761,-0.028963134024753263,7395317,8888193,13994154,12779102,25.56,0.94,0.88,6.45,26.95,6.85,0.01605953602258045,255.548,2.45,3.6,73.77746666666667,100.0,73.9284375,1
Utilities,-0.032263844464711616,0.005195996871346565,0.012885644107706845,-0.0028954527463116685,2655600,2221200,2128500,3676900,16.17,1.16,0.33,3.36,13.74,3.95,0.013185415453944355,238.638,0.13,5.3,54.613333333333344,7.043558850787679,54.65291666666667,0
Real Estate,0.020088005229975222,0.05339711117681965,-0.04391487719206626,0.0017317887342053913,730200,915600,1150700,1077100,51.09,2.04,,,17.74,22.95,0.01791999640692364,260.388,0.09,6.9,64.43666666666667,87.13264495631485,64.57583333333334,0
Finance,0.022710969223170358,-0.0270961058896152,0.07542495044287373,-0.02371095428440074,814950,1147950,1247850,1309050,11.54,0.45,,,13.44,-8.51,0.023882918654715264,256.571,2.4,3.7,57.12,68.19663850110209,57.028058333333334,1
Industrials,-0.023898536833109135,0.04700813685260559,-0.021632440354346014,0.03246975270417656,1256600,1463400,1891200,1376600,15.13,3.8,,,6.24,-24.27,0.019830385789002033,255.548,2.44,3.6,164.04333333333332,39.53871499176267,164.80916666666667,1
Consumer Discretionary,-0.10839146728517456,0.05147053236831282,-0.0029326259316057946,-0.010159628156831297,7548400,9012900,8403600,17075400,50.17,2.27,0.65,7.93,0.99,6.83,0.030062656386675653,256.092,2.4,3.7,25.720000000000002,10.63711911357332,25.83416666666667,0
Finance,0.008523279972138491,-0.015533929962920405,0.021391297438471093,0.03603113093115368,852200,647500,626500,851900,11.63,0.8,,,14.46,20.34,0.026249227014331623,252.439,1.92,3.7,142.94666666666663,56.03053435114481,143.0575,0
Consumer Discretionary,0.044688324594088114,0.007702949974573683,0.058319272746611334,0.03326136866872978,1136500,1522700,929100,635300,25.47,0.19,1.47,5.62,10.21,17.05,0.020851167762398027,259.101,0.1,10.2,52.79333333333333,82.3702252693437,52.71208333333333,0
Technology,0.006199672916874751,-0.0024737588570307146,-0.004923100241053743,-0.04747943549055957,24139200,9682000,13329200,18695100,24.15,0.65,0.49,3.75,6.42,-18.75,0.022295985866482453,300.84,4.58,3.6,16.223333333333333,57.00000000000015,16.210833333333333,0
Utilities,0.0014344683573835851,-0.0024217679274564645,0.007876491851312346,0.0003333416970781722,1072400,1263500,1463600,1151100,16.06,1.62,0.8,4.61,13.35,14.42,0.02315496806652309,252.146,1.92,3.8,90.61,71.34986225895358,90.67583333333334,1
Consumer Staples,-0.03194521872033034,-0.06331808791631412,0.0005344906155372802,-0.023797135330213656,9566900,30286300,7369100,8505100,30.98,0.43,0.4,4.13,4.04,1.24,0.018322324741914482,296.808,2.33,3.5,34.419999999999995,4.530011325028356,34.32083333333333,1
Industrials,0.013052224510848405,-0.02387702279812381,-0.008793331367475973,-0.010185189324287643,764000,487800,232800,389200,28.23,0.24,1.37,1.34,7.98,0.19,0.01912116269853948,244.524,0.91,4.4,104.67333333333333,60.04654771140417,104.73291666666667,0
Industrials,-0.0016750547852843938,0.0022382622914274577,0.04046586086100835,-0.041038467602637914,3526300,4087100,3896800,3009400,5.36,0.29,0.38,10.8,10.87,22.46,0.02719658621232335,305.691,5.08,3.5,35.893333333333345,44.78527607361947,35.848749999999995,1
Industrials,0.007596286178072381,-0.011619530256188502,0.013038661437339215,0.005645734653044177,522000,959600,702800,539600,18.33,-221.85,0.5,-0.55,2.2,-16.98,0.026472023558285755,238.638,0.13,5.3,55.303333333333335,67.30091613812542,55.382083333333334,0
Industrials,0.03846345056399978,0.035132815229648194,-0.03968364837831104,0.041648670292809,234000,139000,325400,277500,90.56,-5.37,3.54,4.7,-2.08,21.93,0.02159403188847305,264.877,0.07,6.1,605.5166666666668,77.85674625208219,608.885,0
