industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,quick_ratio,total_shareholder_return,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label
Health Care,-0.0004451106405132272,-0.0367298915281578,-0.024536558020267073,0.018169034513677754,3315600,4259000,5349400,6398600,11.85,1.29,1.01,3.92,34.93,41.96,0.030806800802339596,276.589,0.08,4.5,67.83333333333331,31.749241658240692,67.67041666666667,1
Health Care,0.021950155695686025,0.05948118298831592,0.0019418205935543863,-0.048735442441484395,183900,216400,199600,286100,53.94,0.23,1.07,-0.61,11.38,5.29,0.03379024555177083,301.836,4.83,3.5,71.87666666666667,85.99618077657547,72.05,0
Industrials,0.005317057164561812,-0.040346317445740625,0.039472069881099914,0.02128997174636795,933084,1017727,885580,993255,14.42,0.56,1.54,2.39,9.39,13.48,0.019838305048355032,257.208,1.55,3.6,28.052800000000005,70.37321390488368,28.111854166666667,1
Industrials,0.006875165119778557,0.022517504774029282,0.04021956131575463,0.03573948894782912,911700,512400,372700,196700,41.08,0.41,1.32,-0.23,17.02,9.37,0.02558278910393088,252.776,2.4,3.8,93.41333333333334,64.13276231263393,93.515,1
Technology,-0.08824171098910168,0.10688318048502131,0.12670670466919168,0.05563564086421756,298800,413900,321500,326200,-15.65,1.26,1.35,-1.92,-27.36,-12.58,0.04585022541386076,300.84,4.57,3.6,42.61666666666667,10.079392474974155,42.44708333333333,0
Miscellaneous,-0.007483778136130126,0.04046734417235888,-0.045533032068997684,0.001257683517920869,346300,219400,272400,274500,29.8,24.17,1.13,4.03,6.06,7.03,0.019247107833101133,252.146,1.91,3.8,62.99,27.40076824583868,62.85875,1
Industrials,-0.019107357372733707,0.03175614574517542,-0.004667082924550014,-0.052843268984281835,689000,455500,576600,511000,56.72,0.44,1.93,-0.99,10.37,19.54,0.017304316718073733,236.916,0.2,4.8,95.70666666666666,31.759656652360736,95.48,0
Energy,-0.00682513842309201,0.012631312310672254,-0.013866241555701176,-0.0028121181955180316,12600,30100,34200,39000,10.94,-8.84,0.3,-38.97,25.67,49.43,0.030001445090241323,273.003,0.1,5.4,42.72,29.56521739130441,42.5225,0
Industrials,-0.03443730077486286,-0.024578802497057847,0.04654586583136087,-0.013056277078225592,762400,1101000,879800,806800,12.56,0.34,2.63,1.98,6.97,13.69,0.017723182347804085,249.554,1.68,4.0,160.05666666666667,39.69273743016762,160.90291666666667,0
Telecommunications,-0.06708973608640584,-0.040869588437287704,0.007887831182425779,-0.006962569651841637,20757100,18332000,19125400,17806300,-5.48,1.0,0.6,-0.41,-4.18,20.63,0.024693094279539952,307.671,5.33,3.9,10.383333333333333,13.765182186234801,10.403749999999999,0
