industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,quick_ratio,total_shareholder_return,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label
Technology,0.010835549902080526,0.03504072501128531,-0.08668396716704786,0.028513038591325562,2630100,1644500,1820700,1681100,-95.48,0.62,1.02,-4.48,-13.23,24.88,0.023469984128739643,254.202,2.4,3.8,187.07999999999996,72.80701754385962,187.09916666666666,1
Industrials,0.02664328616717447,0.018568138818965955,-0.0056807854479040375,-0.008100008713847811,508200,773200,595700,331100,14.1,9.76,0.5,0.05,5.63,-35.82,0.025931057822441633,244.955,0.91,4.3,58.24333333333333,100.0,58.265,0
Consumer Discretionary,-0.02064062275490038,0.04923063328140997,0.03503196078275671,0.05382731872232559,334900,389600,409100,592200,31.0,1.98,0.89,1.46,14.4,26.14,0.017015595357822683,296.171,2.33,3.7,174.78,4.9939589206605195,174.66708333333332,1
Consumer Discretionary,-0.00693406541914072,-0.07361118818499839,-0.0072389010253249945,-0.017775596027505853,10935000,22703500,7615300,8039400,7.99,1.09,0.23,8.45,11.9,10.35,0.033077249755841955,257.346,1.82,3.6,53.01333333333334,40.19851116625311,53.05666666666667,1
Utilities,0.02171012791618057,0.06412076352147233,0.07175335831747136,0.004059159254431501,305300,571100,942800,1120400,10.15,2.33,0.56,7.39,33.12,78.97,0.032350465239790946,281.148,0.08,4.0,23.16666666666667,61.864406779660754,23.097916666666666,1
Technology,-0.012770787386561165,0.0019436172436421869,0.005291879151585004,0.053701656966791744,52539000,26638300,32305500,26963100,22.68,0.1,2.2,3.12,21.57,24.68,0.01942049034116054,305.109,5.08,3.6,123.98333333333333,30.908308222126568,123.20875000000001,1
Health Care,-0.03436961785413169,-0.031210391508339357,-0.003255529845038867,0.0007241441092476169,6104000,5206000,5063200,4757700,27.78,0.46,1.3,3.43,18.36,20.62,0.020115662995711246,292.296,0.33,3.6,103.53666666666665,9.70601959869357,103.74166666666667,1
Consumer Discretionary,0.03666786414884612,0.08484136290801751,-0.03166471306737069,0.07738300304680913,4090900,3819300,5152700,4381100,26.51,-11.96,0.48,3.3,7.94,18.23,0.02366337679055711,256.394,0.05,13.2,222.00666666666666,84.42869157755617,223.05583333333334,0
Finance,-0.001703435989013609,0.001590925389636426,-0.015402781879130278,0.009925909633884688,566400,668500,575800,1059000,21.61,0.2,,,27.26,-14.12,0.021972119660370232,271.696,0.1,5.9,865.8399999999997,51.09017966160828,865.2391666666667,1
Consumer Discretionary,0.021720222115271012,-0.08959418607098442,0.0264361403972963,-0.009555086577084437,475700,699800,1430400,1023500,59.09,3.21,0.56,1.24,5.63,2.45,0.02687676355528723,258.678,1.58,3.5,151.61333333333332,81.26463700234179,151.65833333333333,1
Technology,0.019561777011048286,-0.01588203734982392,-9.605040890707459e-05,-0.052957798506726675,3830000,6011500,5840900,5095700,25.23,0.38,2.97,3.57,36.05,24.36,0.024177864960607164,250.546,1.69,4.0,102.98,71.85778668002003,103.06291666666667,0
Consumer Discretionary,0.03168067698170776,0.018683648813184538,0.009590336937600131,-0.01796282233820309,210500,249100,238300,238300,25.24,0.3,1.23,2.93,6.57,0.77,0.02156713769513392,256.759,2.13,3.5,164.21333333333334,84.99746578813976,165.03666666666666,0
Basic Materials,0.014300143077763741,0.005812931178317965,0.04571537000262596,-0.0651958506006832,2219395,2589206,3605395,3406867,40.55,1.86,0.96,3.85,6.88,31.47,0.019925992627926364,263.014,0.07,6.2,47.615833333333335,44.632142174660764,47.31205,1
Technology,0.11463225220641661,0.00039139840236591863,0.11086953204611073,-0.03523490550383686,1219600,1828500,1478600,3310600,-16.18,0.53,0.76,-17.64,33.81,39.78,0.04309637333301683,256.389,0.04,14.7,28.643333333333327,79.54545454545446,28.386249999999997,1
Technology,-0.01232778111181015,0.014556574923547401,0.047115603527280336,0.08105898663148484,523200,448600,655300,732500,58.31,0.13,0.9,-0.6,18.79,37.71,0.0253003181203118,274.31,0.08,4.8,334.21000000000004,5.172413793103156,333.76166666666666,0
Industrials,0.06846877929472041,-0.004026113775007495,-0.0451705684416845,-0.06282371326184742,3459300,3962300,3202500,4183600,11.02,1.35,1.05,4.77,11.0,-0.65,0.027637599662527115,296.808,2.33,3.5,42.19333333333333,100.0,42.01416666666667,0
Technology,0.018099638129057734,0.08838782322033575,-0.022548983897145474,0.03650198750478673,22834300,24048800,28048700,25575900,2.92,0.12,2.12,4.16,41.62,26.66,0.03918654541282523,252.776,2.4,3.8,42.28333333333333,69.64285714285714,42.4925,1
Finance,0.024752441497287652,0.03826404918614162,-0.014631506304703886,0.0539739067094065,4171596,4171596,4944654,10106639,268.69,0.35,,,5.64,22.18,0.026716952553911502,244.786,1.16,4.3,55.663333333333334,76.82119205298021,55.696666666666665,0
Consumer Discretionary,-0.4494961228401254,-0.12020628321727458,-0.021980294318245854,-0.1524524478157532,33097500,35535400,33052500,36331900,7.93,1.12,0.28,8.27,9.6,-0.89,0.033107785847017436,258.115,0.25,4.4,30.34666666666666,11.389382156634618,28.937083333333334,0
Industrials,0.08123745767862624,-0.07456250861773374,-0.01717797125982327,-0.07143048649511845,251300,429900,521100,316900,21.72,-7.73,3.15,-1.26,17.32,30.82,0.01903562205531458,251.233,2.4,3.9,335.73333333333335,97.84246575342468,335.4216666666666,1
