industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,quick_ratio,total_shareholder_return,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label
Consumer Discretionary,-0.0193749275031682,0.0427741060242361,-0.0095547071038508,-0.0076922597228566,6230100,6996900,6377700,7026700,30.01,0.63,0.72,3.8,14.4,13.74,0.0252509042354906,241.428,0.4,5.0,56.24,8.149405772496216,56.3,0
Utilities,0.0256444407458405,0.011923696623338,-0.0068261176175945,0.0314703500815399,175800,195300,233900,221400,17.58,0.85,1.14,2.64,11.15,1.49,0.0131177940742495,238.132,0.36,5.0,73.80333333333334,87.79661016949167,73.71458333333334,0
Real Estate,0.0571816745734781,-0.0044820945832172,-0.0408428837500169,0.0369941671082106,1298900,3493600,571100,832500,62.13,0.6,1.05,4.97,12.97,29.98,0.0191040972101751,237.838,0.13,5.0,23.196666666666676,88.26086956521742,23.24083333333333,0
Industrials,-0.0448570339162449,0.0629639217471551,0.0553917330426786,-0.058077994937428,1071300,880100,1080400,994800,6.68,0.36,0.79,0.66,27.43,-18.14,0.0236504832701329,305.691,5.08,3.5,235.73666666666668,11.037986375707158,235.2408333333333,0
Consumer Staples,0.0228062189510536,-0.0219948027210866,0.0218421057700463,-0.027999977533082,6563300,6745100,9474700,10172500,10.28,1.35,0.63,2.18,4.55,10.21,0.0195970397404216,259.101,0.1,10.2,63.633333333333326,72.4489795918367,63.83708333333333,1
Consumer Discretionary,-0.0142587787303061,0.0650428809117148,0.0430365355889831,0.0051065834866354,3908700,5531400,4044400,1816300,31.04,100.91,0.95,10.94,0.13,-63.58,0.0372930400583944,246.819,1.16,4.3,35.98666666666667,54.73285654185949,36.352916666666665,1
Industrials,0.0286793403529422,-0.0074151561420622,0.0275882203308945,0.0321823092360586,1162400,399400,678500,678500,17.55,0.01,2.06,1.96,28.26,21.24,0.024515698905266,260.474,0.09,6.7,117.87,93.23843416370136,118.24666666666668,0
Industrials,0.0029752106202067,-0.0754684436395346,-0.023337937115532,-0.0654323359045869,1008000,1440300,1060500,1559400,8.09,1.43,0.85,-2.1,16.7,21.14,0.02276086464909,278.802,0.08,3.9,56.350000000000016,33.99526325378026,55.6125,1
Consumer Discretionary,0.0109490560627313,0.0019450454603008,-0.0160760513575991,-0.0785127371820432,983100,895900,880400,934500,24.03,3.0,0.74,1.53,16.45,1.69,0.0184622736304746,248.991,1.42,4.1,130.38,53.37018924090997,130.08583333333334,0
Consumer Discretionary,-0.0363680720583322,0.0559038520870022,-0.0301495415404765,0.0151749006270408,185500,215500,528600,366300,20.54,0.2,1.53,2.59,2.2,3.99,0.0311982555122388,237.336,0.12,5.1,39.13000000000001,2.4657534246579087,39.1575,1
Consumer Discretionary,-0.0166992704119811,-0.024218626059088,-0.0244505527523546,0.0594227568717921,279200,208700,208700,158500,21.04,0.27,1.49,6.28,9.46,8.03,0.0252065739750363,281.148,0.08,4.0,206.05000000000004,11.13653699466047,205.755,0
Consumer Discretionary,0.035837648064527,0.0173512175863832,-0.0240086325819456,-0.0008566524310668,402800,1028200,326900,387200,37.77,0.04,2.05,-18.53,12.72,4.7,0.034589707340988,271.696,0.1,5.9,48.32333333333332,58.29471733086188,48.08666666666666,0
Industrials,-0.0666666627957424,-0.0001511754413057,-0.002412508348451,0.0304537679760602,204900,175800,191600,226200,13.0,0.67,1.52,2.65,8.5,-3.6,0.0201673056516166,289.109,0.33,3.6,62.27666666666666,0.0,62.39875000000001,0
