industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,quick_ratio,total_shareholder_return,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label
Energy,-0.0357072593795832,-0.0087976584049447,0.0154020657895661,-0.0007182083211789,2635300,2900400,2524800,1657400,8.21,0.47,0.76,9.6,0.86,-6.66,0.0163545971524393,255.548,2.41,3.6,94.92,0.0,95.04708333333332,1
Health Care,0.0513090988503763,-0.002402183987009,-0.032075342348364,-0.0668188222542072,1247110,872418,1052838,690485,44.58,0.97,0.91,1.32,8.36,9.83,0.0257714817817745,259.101,0.09,10.2,144.15533333333337,100.0,144.09592500000002,1
Health Care,-0.2625574198871452,-0.0496930459930457,0.1054260361584855,-0.1181016648021322,3100800,2815300,3027000,3100200,15.93,0.63,1.53,3.06,3.41,3.56,0.0192039699671852,258.115,0.25,4.4,223.10666666666663,19.984259935915453,224.74166666666667,0
Industrials,0.0602264416542265,-0.0510598176668291,-0.0212253102020344,0.0064003074367801,181700,166700,155000,408800,20.99,28.78,0.52,1.58,15.39,10.4,0.0221225334353461,307.026,5.33,3.8,365.18,84.85844555190333,366.40791666666667,1
Consumer Discretionary,-0.0259489221114131,-0.0527492887792286,0.1299157795482437,-0.0129144658676872,10142600,15244600,9626600,11236400,14.15,0.92,0.27,0.84,4.7,7.35,0.0188540802326758,260.28,0.09,7.9,136.98,10.71710007880262,136.86,1
Technology,0.0675285153543939,0.012502415061017,0.0207378753232352,0.0408883074546102,1510900,2574900,2321900,3756800,28.12,0.65,0.96,0.27,24.01,37.7,0.0280182404940016,267.054,0.07,6.1,137.23100000000002,70.37512999662042,135.9226875,0
Technology,0.0276301177980839,0.1734912122625032,0.0497125014744169,-0.0513893208928145,617900,533700,532800,497700,40.66,0.64,0.37,1.12,15.21,31.57,0.0262247687848121,263.014,0.07,6.2,482.7233333333333,77.13660604403117,485.16,0
Consumer Discretionary,-0.0238156167770432,-0.0039164817327268,0.0210243151175056,0.0223098336060857,11532700,8549900,9004500,11917200,22.97,-3.04,0.43,7.9,5.48,-28.78,0.0243724956819269,256.394,0.05,13.2,74.05333333333333,40.58577405857734,74.36625000000001,0
Consumer Staples,0.0056226583837981,0.0605773714148056,0.0327391302981481,0.0058689228028451,810900,1250400,1269400,2027500,18.99,-505.78,0.64,1.27,11.0,14.6,0.0134156222021998,256.571,2.41,3.7,67.27666666666666,66.49746192893397,67.42708333333334,1
Consumer Discretionary,-0.1027840159458034,0.0090107604468209,-0.0054473292762441,-0.0174377721233432,30723000,62091100,9965500,9676900,19.13,1.39,0.6,5.87,10.94,-0.21,0.0245625535084105,251.989,1.92,4.0,51.36000000000001,18.391420911528236,51.95916666666666,0
Consumer Staples,0.0243130237615955,0.0063432354460322,0.0393217219448828,-0.0175801825403218,20120900,14784000,7110700,10451700,22.62,0.68,0.27,5.14,9.98,22.04,0.0133786095703212,248.991,1.42,4.1,45.25666666666667,69.78785662033661,45.321666666666665,0
Industrials,0.058507417041227,-0.0830634227458171,-0.0297961465041906,-0.0162030447546856,1062000,739600,492400,878400,6.43,0.48,1.56,0.97,13.66,18.23,0.0265952225620951,252.038,2.2,3.8,72.31333333333336,93.38521400778204,72.955,0
Consumer Staples,0.0043858506717518,-0.0191204886648591,0.0335968588960839,-0.0140434597520277,3417100,4154800,2480600,2960300,9.26,3.2,0.49,1.02,1.91,1.32,0.0259194034301869,297.711,3.83,3.6,20.74,42.03233256351035,20.683333333333334,0
Technology,-0.0102139358787536,0.0301158648822399,-0.0365799599666938,0.012193304012256,1695200,1056200,1178700,1115200,-67.81,-6.57,0.73,0.23,-6.44,3.81,0.029466734916399,252.146,1.92,3.8,132.92666666666665,51.93586233867797,133.18375,0
Technology,-0.0793220447768053,-0.0423987257906923,0.0314093574601186,0.0035020021890422,48975900,39336400,47726000,37780300,31.9,0.38,1.77,1.63,33.89,40.61,0.0213204503481853,292.296,0.83,3.6,261.80000000000007,11.491299778115163,260.52750000000003,1
Health Care,-0.0596694326711919,0.0160215336296234,-0.0348837187354306,-0.0661892500535168,1131900,1131900,1189600,1570200,-20.69,0.69,2.07,-14.53,-36.58,-17.45,0.0460182512496306,278.802,0.08,3.9,77.60333333333334,24.49139280125202,76.95166666666668,0
Health Care,-0.0342466576602415,-0.0382082249312042,0.0630253550584044,-0.0196795270915604,6363700,5771500,4444900,3871100,617.52,1.07,0.63,-0.58,0.64,19.21,0.0290659515448841,258.678,1.58,3.5,20.991666666666667,26.605504587155902,21.14625,0
Industrials,-0.0177820558905392,-0.007841096867516,0.0757768501976176,0.1029616575138432,258100,326500,209100,339100,22.57,0.29,1.34,2.72,-4.16,16.99,0.023888169199282,259.918,0.09,8.4,74.10666666666667,45.87155963302738,74.38999999999999,0
